calle,comuna,numero_region
Pje. Las Astromelias casa 19,,
Miranda 575 Sector Arenal,,
Calle 8 Ote. 2274,,
Prieto 1160,,
8G3R+W7,,
PARQUE INDUSTRIAL,Coronel,8.0
barboza 465,,
Eleuterio Ramírez 799,,
Claudio Arrau 1043,,
Paicaví 1879,Concepción,8.0
Balmaceda 679,,
Escocia 866,Concepción,8.0
Calle 6 171 J de Floresta III,,
Rucapequen,,
4602383 Hualpén,Hualpén,8.0
Rinconada de Cato,,
Camino El Peral Km 6,,8.0
parcela 18 lote 1 fundo bullen,,
Av. Los Carrera 2109,Concepción,8.0
Volcan Mino 462 Santa Marta,,
Almte. Latorre 1209,Talcahuano,8.0
Av Vitacura 2939,Las Condes,13.0
Cardenal Caro 265,,
Francia 325,,
Río Bueno 5278,Talcahuano,8.0
Pje. Veintidós 380,,
C. A,,
Malleco 9245,Hualpén,8.0
Maipón 148,,
Villa Santa Ines pasaje Santa Ines 1417,,
Los Acacios 363 Laja,,
Coihueco,,
Av. Cristóbal Colón 8297,Hualpén,8.0
Fundo el Carrizal Lote 8A,,
OHIGGINS 99A,,6.0
Parlamento de Tapigue 88,,
Palacios 941,,
Paicaví 246,Concepción,8.0
O'Higgins 380,,6.0
Rodrigo de Triana 170,Concepción,8.0
Miguel de Cervantes 267,,
Conumo 126 Carampangue,,
Yungay 396,,
ALMIRANTE LATORRE 152 A,,
Los Pintores 8781,Hualpén,8.0
X7W9+9R,,
Lago Lleu Lleu 443 El Bosque,,
Los Pinos,,
C. El Maiten 139-183,Puente Alto,13.0
Camino el Venado Interior 1454,,
Camino viejo a concepción s/n,Concepción,
Llahuimavida km 2,,
San Martín 3973,Chiguayante,8.0
Galvarino 455 Michaihue,,
Cruz 1565 Pje 3 Casa 1260,,
Baena 0376,,
Barros Arana 815 Of 38 A,,
claudio arrau 1043,,
Pedro Aguirre Cerda 35,Talcahuano,8.0
Cam. A Coihueco,,
Parque industrial - Vía interlaguna,Concepción,8.0
Itihue 725,,
Janequeo 761,Concepción,8.0
Ebro 2705 Las Condes,Las Condes,13.0
Jaime Repullo 1395,,
Alonso de Rivera 2850,,
Chillancito,Tomé,8.0
Superintendente Luis Antini Riveros 549,,
Tucapel 1040,Concepción,8.0
Camino a Conumo 126,,
Valparaiso 1030 Cerro Alegre,,5.0
Maipón 570,,
sector la gloria camino las torres km1 san carlos,,
Canelo,,
Libertador Gral. Bernardo O'Higgins 77,Concepción,8.0
Los Limones 7167 Lomas Coloradas,,
Luis vicentine 150 San elvira,,
Zanartu 480,,
Monsenor Sotero Sanz 161 Piso 5,,
Coihueco 774 Villa Acero,,
Trehuaco 616 Parque Residencial Biobio,,
Luis Acevedo 3428,Talcahuano,8.0
Las Malvas 228,Las Condes,13.0
Cruz,,
Malleco 9245,,
La Ermita 19,,13.0
Libertad 924,,
Castuera 3010,Concepción,8.0
Ainavillo 2151 Barrio Norte,,
Luis Cruchaga 3204,Talcahuano,8.0
Las Canoas 296,,
Concepción,Concepción,8.0
Brasil 515,,
Isla Juan Fernández 394,Talcahuano,8.0
Rucamanque 932 Cerro San Francisco,,
Tarapacá 447,,
San Martin 553 oficina 901,,
Valle Grande,,
Obispo Hipólito Salas 480,Concepción,8.0
Parque - Av Parque San Pedro del Valle 1998,Concepción,8.0
Gran Bretaña 4889,Talcahuano,8.0
Angol 969,,
Pje. Seis A,,
Villa Río del sur pasaje rague 1290,,
Juan Guillermo Soza 480,,13.0
Sector el lucero San Ignacio,,
Vicuña Mackenna 134,,
Av Espana 399,,
Brasil 70,Talcahuano,8.0
Eulogia Sánchez 065,Providencia,13.0
Eleuterio Ramirez 951,,
Javiera Carrera 7353 Bodega 6,,
El michai 4194 huachicop,,
Francia 215,,
Laguna Lo Galindo 844,Talcahuano,
San Martín 988,Concepción,8.0
Camino a pinto km 11,,
Coquimbo 536,,
pasaje Enrique Campos 533 villa el rosario lomas coloradas,,
Málaga 836,,
Tucapel 397,,
fundo chiquitoy km 10 sector los boldos,,
Torreblanca 300,Talcahuano,8.0
Calle Juan de la Cruz tapia 145,,
Puente Nuble Km 393 Sector Oratorio San Carlos,,
Santa Rosa Km 2,,
Las Merluzas 194 Los Lobos Viejos,,
Malaquías Concha 699,Talcahuano,8.0
Manuel Gutiérrez 1437,Concepción,8.0
Av Argentina 950,,
San Martín 290,Concepción,8.0
Av Alonso de Ribera 2850,,
Costanera Ribera Norte 1 7800 Particion Price,,
Chacabuco 1080,,
Faro Raper 2014 Lote B-6 San Luis de Lo Pin III,,
Juan Bastías 2641,,13.0
San Carlos 6181 Pobl Santa Maria,,
Creta 865 Hualpen,,
Maipú 1020,Maipú,8.0
Los Ángeles,,8.0
LAS DALIAS 1029,,
paso alejo lote 2 las cabras coihueco,,
Calle servicio oriente 489,,
Rincónada,,
Villa Los Radales Pasaje El Polux 70,,
Pemuco 9239 Parque Residencial Biobio,,
Avda Carbonifera 947 Lt 3 MZ 4,,
Manuel Bayón 3237,,
21 de mayo 152 pobl la fuente,,
Calle larga 39 santa clara,,
Río Manso 587,Talcahuano,8.0
Sgto. Aldea 156,Talcahuano,8.0
Malaquías Concha 680,Talcahuano,8.0
C. las Pitras 564,,
Av. Forestal 947,Coronel,8.0
Valdivia 123,,
Ongolmo 1304,Concepción,8.0
Cam. a Coronel 3455,San Pedro de la Paz,8.0
Av. Costanera 3443,Hualpén,8.0
Segunda transversal 457,San Pedro de la Paz,8.0
Camino pata de Gallina Lote 2 km 0.400,,
Galvarino 468,,
Morandé 322,Santiago,13.0
Las Agatas 489 Depto 1204,,
Sector Los Nogales SN Pedregal Lote B,,
Los Limones 7155,San Pedro de la Paz,8.0
74J5+5P,,
Alberto Moller 14,,
E Pinto Lagarrigue 1550  Km 1 5,,
Elena Blanco 928,,
Capilla cox kilómetro 15,,
Avenida Ohiggins Poniente 77 Oficina 1105,,6.0
Santa Eugenia 100,,
Av. Andalién 552,Concepción,8.0
Lautaro 1745,Concepción,8.0
Cam. a Lirquén 145,Penco,8.0
Calle Nueva 1 172,,
Gasmuri 250,,
O'Higgins 379,Talcahuano,8.0
Sotomayor 300,Concepción,8.0
Camino parque lantaño 100,,
Calle 3 equop 1 589 Brisa del Sol,,
Calle 5 4122 San marcos 2000 Talcahuano,Talcahuano,
Río Viejo 861,,
Barros Arana 492 78,,
Tumbes,,
Barros Arana 273,Concepción,8.0
Rengo 62,Concepción,8.0
Manuel Rodríguez 99-11,Talcahuano,8.0
Orella 53,,
Av Golfo De Arauco 3652,,
Beaucheff 250,Talcahuano,8.0
Merino Jarpa 140,Talcahuano,8.0
San jose HJ3-D Florida,,
O'Higgins 380,Talcahuano,8.0
Avenida ohiggins sn Tucapel,,6.0
Veintiuno de Mayo 72,Concepción,8.0
Los cardenal 567  Pueblo seco,,
Alonso de rivera 2850,,
Tegualda 83,Concepción,8.0
Colón 889,Talcahuano,8.0
Principal 17,,
Av. Las Golondrinas 982,Talcahuano,8.0
Av. Los Carrera 856,Concepción,8.0
Pasaje Cuatro 4373 La Floresta III,,
Calle 4 N° 1934 Parque Industrial Ejercito Concepción,Concepción,
Boldo,,
Av. Apoquindo 6550,Las Condes,13.0
Cocharcas 291,,
Argentina 75,,
Av. Circunvalación # 154,,
Rapanui 133,,
Ruta de la Madera,,
Gran Bretaña 4521,Talcahuano,8.0
Ernesto greve,Talcahuano,8.0
EXPOSICION 1810,,
Ñuble Rupanco 569,,
Camino A Nueva Aldea 1120,,
N-331,,
Altos Sta. Rita,,
Gobernador Juan Henriquez 965,,
Claudio Gay Ote Pje 48 3816 San Marcos,,
Las Violetas 106 Pueblo Seco,,
Miraflores 583,,
Cerro el plomo 5420 P.10,,
Río El Cisne 5311,Talcahuano,8.0
Fdo Los Naranjos SN,,
Vicente Pérez Rosales 429,,
Pje. Ciruelito,,
Sector Valle Escondido - Barcelona 1253,Concepción,8.0
Vicuna Mackena 305 Pobl Gaete,,
Las Canoas 287,,
Eduardo Puepping 2060,,
Pasaje 5 186 Partal San Vicente,,
km8 Quiriquina s/n,,
Los Vacios 43 Villa San Pedro,,
Pirumavida 3 SN Sector Tropezon,,
pasaje 5 4189 floresta  3,,
Av. Vicuña Mackenna 398,,
C. I 908,Talcahuano,8.0
Av. Nueva San Vicente,,
Sector Estacion SN Lanalhue,,
Los lirios 520 San Nicolás,,
San Alberto 1670,,
Andrés Bello 337,,
calle 4 1961 parque industrial ejercito Concepción,Concepción,
Los Carros 1955 Galpon 3 Bodega 3,,
Gabriel Toro 45,,
Av. Irarrázaval 1628,,13.0
Costanera Rivera Norte 1 7800 Sitio 4 Lt M y E sur,,
Ohiggins 1316 501,,6.0
Baquedano 1630,,13.0
O'Higgins 380,,6.0
Autopista 8360,,
Pasaje son francisco serrano 2282 chillan,,
Ruta 150 194,Penco,8.0
San Carlos 529,Talcahuano,8.0
Pasaje 30 Casa 950,Talcahuano,
Jaime Repullo 2295 Galpon J,,
Rengo 321,,
Tucapel 965,,
Turquesa 1193-1081,,
Valladolid 3388,,
Maipú 399,Maipú,8.0
Rengo 6862 Of 101,,
Albacete 40 Depto B102,,
Km 05 Camino Quirihue SN,,
Conde del Maule 315,,
Condomio Valle Metrinhue Km21,,
MARIN DE POVEDA 127 SEC.LOMAS SAN ANDRES,,
Beaucheff 3500,,13.0
Calle Padre - Pedro Mayoral 344,Concepción,
Quilelto,,
Los Mayas 1928,,
San Lorenzo lote a km15 talquipen,,
Talcahuano,Talcahuano,8.0
Paula Jaraquemada 1175,,
Jaime repullo 396,,
Océano Pacífico 3636,,
Los Pinos 153 Cholguan Estacion,,
G87Q+V9,,
Colo Colo 1372,Concepción,8.0
TUPUNGATO 584 LOS VOLCANES DOS,,
Barros Arana 492  78,,
Barros Arana 492,Concepción,8.0
Av. Pedro Nolasco Videla,,
Brasil 1265,,
km 8 la victoria camino las mariposas,,
Mario Poblete 697,,
Camino  cartago km,,
Cabildo,,
Pasaje Rio Quillen 1046 Yobiloi 2,,
Cam. A Lenga 3361,Hualpén,8.0
Angol 969,Concepción,8.0
Cholguan,,
La Greda 1037,Tomé,8.0
Los Guindos,Santiago,13.0
Calle Sotelco 1229 Candelaria,,
Flores Millán 340,,
Riñihue,Concepción,8.0
20 de Octubre 239 Salinas,,
Cholguan,,
Mons Alarcón 444,Talcahuano,8.0
Los Gorriones #452,Concepción,8.0
Balmaceda 921,Talcahuano,8.0
Hurel 28 Sector Arenal,,
Avenida Costanera 9200 Hualpén,Concepción,8.0
Avda Las Industrias Pedro Stark Troncoso 1015,,
Thompson,,
La Maestranza Sitio 16 14 Pqe Ind Lota Alto,Lota,
San Jose 130,,
Jaime Repullo 2295,Talcahuano,8.0
Lautaro 740,,
Brasil 1070,,
Fundo Los Tilo SN,,
Lientur 1457,Concepción,8.0
Los Araucanos 2555 Of,,
Parque de la Madera 110,,
Angol 670,Concepción,8.0
ballica norte sn bulnes,,
Volcán Laskar 220,,
Manuel Montt336,,
avenida argentina 2646,,
C. MARIHUENU 2680,Coronel,
Baquedano 386,Concepción,8.0
Dos Sur Salida a Catillo,,
Los Olivos 288  Lomas Coloradas,,
Cocholgue 1416 villa verde Parque,,
Torre 2 27 Mirador BioBio,,
Hernando de Magallanes 1 1748 Lagunillas Norte,,
Villa Padre Hurtado 3 Pasaje humanidad 1046,,
San Carlos 715,Talcahuano,8.0
Gran Bretaña 3544,Hualpén,8.0
Jotabeche 3278,Talcahuano,8.0
Los Olivos 110,Penco,8.0
N-45 119,,
Vicente Palacios Lota a 2574 Frutillares,Lota,
parcela 35,,
Morande 322 of 308,,
Zemita,,
Av. Andalue 2736,San Pedro de la Paz,8.0
Av. O'Higgins 3840,,6.0
Balmaceda 180 Sector Arenal,,
Avda Parques de Carriel 5579 casa 33,,
Calle de Servicio Oriente,,
Colonia Bernardo O'Higgins Parcela 43 26,,6.0
Av Colon 4074,,
Gamero 388,,
Libertador Gral. Bernardo O'Higgins N° 648,Concepción,8.0
Francisco Bilbao 593,,
Jaime Repullo 2057,,
Zenteno 1275,Santiago,13.0
Malaquias Concha 680,,
Altos del pajonal parcela7,,
Pasaje 1 Oriente 2403 Parque Lauquen,,
Valencia 1986,Concepción,8.0
Lago Llanquihue 334,Talcahuano,8.0
Calle Larga,,
almirante Latorre 1386,,
Alonso de Guzmán 24,San Pedro de la Paz,8.0
Valdivia 1187,,
Calle Km 14 SN Camino Coelemu,,
Fundo Huerto Bonito Km 1 SN,,
Culaco 430 cerro san francisco,,
Av. del Pescador 59,,
Los Araucanos 585,,
Canelo 301,Talcahuano,8.0
Alameda lib.b.ohiggins 969 of 1101,,6.0
rengo 68,,
poblacion balmaceda calle santa rosa 110,,
Huerfanos 1055 Of 503,,
El rosario 640 chillan viejo,,
Jotabeche 3278 Salinas,,
Cocharcas 125,,
Calle 2 Casa 37 Villa Santo Domingo,,
Sta. Margarita,Concepción,8.0
Ángel Parra 782,,
C. Felipe Camiroaga,San Pedro de la Paz,8.0
Penco,Penco,8.0
Isla Rocuant,,
Las Margaritas 4980 Condores,,
Manuel Rodríguez 302,Talcahuano,8.0
Yungay,,
Juan de Dios Rivera 1757,Concepción,8.0
Gran Bretana 3544,,
Tupungato,,
Condominio 1295,Concepción,8.0
Miguel de Cervantes 57,,
6R9V+3X,Hualpén,8.0
Av ohigggins 3950,,
Pje. Tres La Hélice 46,Talcahuano,8.0
Blanco Encalada 547,,
Ruta de la Madera,,
Los Alacalufes 376,,
Arturo Prat 480,Tomé,8.0
Trumbull 148 Cerro David Fuentes,,
Baquedano 2047,,
Tome,Tome,
Monjitas 550 of 19 Santiago,Santiago,13.0
Camino Internacional Lonquimay km 89,,
C. Real de la Alhambra,,
Valencia,Hualpén,8.0
Pasaje Lago Cisne 216 Portal de San Pedro,,
Badajoz 100 Oficina 1014,,
Anibal Pinto 340 Local 2B,,
Colón 180,Talcahuano,8.0
Cerro Negro,,
Pje. Llanquihue 610,,
Jaime Repullo 1856,,
Barros Arana 1262 - Depto 203 C,,
Jordán Valdivieso 226,,
Av. Anibal Pinto 170,,
Rio BioBio Block 16 Departamento 103,,
Camino el Baticano Lote fs2 requinoa,,
Rinconada de Nos 6,Santiago,13.0
Pje. Veinte 4393,Talcahuano,8.0
Quillay 397,,
Avenida Collao 1371,,
Tomás Delphi 447,,
Parcela 6 Pichillenquehue,,
36 6605680,,
Cra. 4 #7A - 81,,
Jaramillo 1005,,6.0
Blanco Encalada 444,,
Calle 2 Sitio 36 Barrio Norte,,
Pje. 2 385,,
Av Golfo de Arauco B Of B Parque Industrial,,
Km 3 ruta bulnes  quillon,,
Barros Arana 1098,Concepción,8.0
Pasaje cataluna 632 villa espana estacion central,,
Fresia 60,Penco,8.0
Manuel Bulnes 1271,Concepción,8.0
VARIANTE COLLIN 59,,
pasaje rios de oro 838 villa rios del sur,,
Lagunillas Cjón. 675,,
C. Siete,Concepción,8.0
Calle el huemul 6330,,
Los Chonos 178,,
Cocharcas 660,,
P 2 Transversal 323 L San Andres,,
Cam. El Venado Interior 1454,San Pedro de la Paz,8.0
Luis Uribe 3502,Talcahuano,8.0
Rura Q90 Km 9 5,,
Diego de Oro 382 Concepcion,,
Av. Pdte. Jorge Alessandri Rodriguez 1160,,
Patricio Lynch 221,,
Calle Suiza 2250 Cabo Aroca,,
Huépil,,
Hualpén,Talcahuano,8.0
Avda Grecia 906,,
Jaime repullo 2295,,
Putre 1465,Talcahuano,8.0
Las Toscas 1376 L 24 Mzu Villa La pena Coronel,Coronel,
Griselda 46 Santa Leonor,,
San Martín 1312,Concepción,8.0
Patricio Lynch 221,,
Chillán,,
Collao 981,Concepción,8.0
Puerto Natales 931 Diego Portales,,
Costanera Rivera Norte 6800,Hualpén,8.0
Alemania,Hualpén,8.0
Marcela Paz 1623 Santa Sabina,,
Bristol 2546,Hualpén,8.0
Serrano 710,Concepción,8.0
Calle Bio Bio Pasaje 2 Casa 1669 Pobl Baquedano,,8.0
Rio Tolten 5673,Talcahuano,8.0
Isla de Pascua 359 Pobl libertad,,
Villa Ferroviaria 229,,
Brasil 1320,,
San Carlos 635 Santa Leonor,,
Cato,,
Edmundo Larenas 129,Concepción,8.0
Los Coihues,,
Pedro Angulo Novoa 714,Chiguayante,8.0
Castellon 1659,,
Cristobal Colon 2745,,
Av. Vicente Méndez 515,,
Barros Arana 436,,
Puerto Varas,,
Calle 1,Talcahuano,8.0
Luis hermosilla 882 d a-3,,13.0
Villa Ferroviaria 229,,
P.º Dimalow 290,,5.0
Av. Araucana 45,Concepción,8.0
Av. La Dehesa 1822,,13.0
Las Malvas 68,,
Victoria 1260,Concepción,8.0
Lt 4 Parcela Dos Montes SN Nahueltoro Km 8,,
Juan Macaya 1324,Talcahuano,8.0
Riquelme 627,Talcahuano,8.0
Las Rozas 488 Poblacion Michaihue,,
Ruta L 25,,
Yerbas Buenas,,
3930473 Bulnes,,
5 de Abril 160,Concepción,8.0
Avda Apoquindo 5550 1301 A,,
Población la Victoria,Santiago,13.0
Ctra. Panamericana Sur,,
Lourdes,,
Bulnes,,
calle 1 sin numero,,
Collao 190,Concepción,8.0
Anibal Pinto 509,Concepción,8.0
Doctor Barros Borgono 71 Of 1105,,
Río Blanco 1238,,
Las Américas,Hualpén,8.0
Ramuntcho 15,Hualpén,8.0
Calle el Carbon 517 Poblacion Ohiggins,,6.0
Lincoyán 1199,Concepción,8.0
Ruta 5 Sur KM 521,,
Yerbas Buenas 351,,
Diego de Oro 382,,
Altona 3608,,
Ruta 160 km 15- 5,,
Ñuble 711,,
Monte negro hijuela 9 lote 76,,
no,,
Castellón 13,,
Av. Las Industrias 5000,,8.0
Gomez Carreno 5645,,
Jose Manuel Balmaceda 340,,
Manuel Bayón 414,Talcahuano,8.0
Las Brisas 2225,Concepción,8.0
cocharcas 288,,
Km 8.5 sin numero Chillan,,
Kl 21 San Nicolas,,
Grumete Bravo 723,,
Camino Cobquecura Km 1 Quirihue,,
Berlin 824,,
Colon 889,,
Trehuaco 616 Parque Residencial Biobio,,
Los Cerezos 3678,Coronel,8.0
Panamericana Norte 0591,,
Parcela 16 el agial comuna retiro,,
Lautaro 740,Concepción,8.0
Mallorca 1114,Hualpén,8.0
Holanda 100,Providencia,13.0
Victoria 855 Lomas Coloradas,,
Quiriquina,,
La Catana 3811 - 67 Cond La Catana,,
Avda 105 1241 chiguayante,Chiguayante,
Portal de la Luna - Los Tilos,,
Javiera Carrera 131 Lomas Coloradas,,
Brasil 683,,
Sgto. Aldea 1038,,
Millanes 4273 floresta 3,Hualpén,8.0
Alonso de Ercilla 905,,
Anibal Pinto 1835,Concepción,8.0
Libertad 30,Talcahuano,8.0
Av Ejercito Libertador 46,,
Diag. Ote. 635,Concepción,8.0
Av. O'Higgins 1330,,6.0
Monsalves 146 Carampangue Arauco,,
Agustinas 1357,Santiago,13.0
Ocho Nte. 627,Concepción,8.0
Los Lirios 424 Collao,,
Angol 313,Concepción,8.0
Pje 25 4308 San Marcos 2000,,
Sta. Blanca 151,,
Zañartu 235,,
Quilleco 670 Aurora de Chile,,
Colon 3880,,
Av. Pdte. Eduardo Frei Montalva 6115-A,,13.0
Ninquilhue,,
Pasaje 2 casa 4582 Padre Hurtado,,
Joaquin Diaz Garces con Camino a los Angeles villa coihue,,
Las Amapolas 25,,
C. B 176,Concepción,8.0
San Farncisco Lote 1 km 16 Bulnes Concepcion,,
Pullay sn,,
Av. Costanera,,8.0
Kl 15 comino a coihueco,,
Orompello 1333,Concepción,8.0
Las Magnolias 882,Talcahuano,8.0
San Miguel 546,Talcahuano,8.0
Los Yaganes 1542,,
brisa del sol - C. 7,Talcahuano,8.0
Camino Concepcion Bulnes Kilometro 10 5 SN Fundo Chanco,,
Malleco 2000-2084,Concepción,8.0
Progreso 103,,
Génova 2647 Población Armando Alarcón del Canto Hualpén,Hualpén,13.0
Saavedra N 138,,
Caleta Chome 1326 nueva los lobos,,
Ruta 146,Concepción,8.0
Las Golondrinas 1485,,
Camino Santa Rosa KM SN Chanco,,
Nuncio Mons. Sótero Sanz de Villalba 161,Providencia,13.0
fundo el almendro km2 camino  rere yumbel,,
F33X+Q5,,
Volcan Lascar 4214,Talcahuano,
Av. Central,Tomé,8.0
Avenida Latorre 1079,,
Americo Vespucio 444,,
Fundo La Fama Lotes C3y4 S N,,
Volcan Laskar oriente 721 pudahuel,,
Miguel de Cervantes 331 San Vicente,,
Los Araucanos 1581,,
Primera del Nte.,,
Maryland 28,Talcahuano,8.0
Camino a florida,Concepción,8.0
Hijuela 3,,
5 de Abril 298,Concepción,8.0
Los Naranjos 6465,,
El Carmen 1425,Concepción,13.0
Los Nardos,,
Mulchén - Alto Caledonia - Estero Pehuenco 1062,,8.0
Las Brisas Parcela 39,,
Cochrane 1313,,
Isla Sta. María 345,Talcahuano,8.0
Venecia 2857,Talcahuano,8.0
Fresia,,
Río Viejo 477,,
Manuel Barros Borgoño 3465,,
Los Alpes 2797,,
Baquedano 599,Concepción,8.0
Padre Hurtado 176 Foresta Del Carmen,,13.0
Avenida Viscalla 16907 1 LT 01 Pudahuel,,
Camilo a los Tilos KM 13,,
Manuel Montt 310,,
Baquedano 1630,,
Raul  parada 63 chillan,,
Av. Las Industrias 1455,,8.0
Lago Maihue 5468 Villa Arabia,,
Patria Nueva 1069,Hualpén,8.0
Cam. El Alba 11969,,
C. 4 128,,
Avenida Laguna de Curauma 50 Casa 23,,
Avenida Las industrias km 514 Villa Marisol,,
Los Mercedarios 27,,
Rosauro Acuna 387,,
C. 6 305,Hualpén,8.0
Erasmo Escala 772 Chillan Viejo,,
Barros Arana 253,Talcahuano,8.0
Av Cristobal Colon 2831,,
Alejandro Fuenzalida 698 villa mar,,
N-48 7,,
Serrano 370,Concepción,8.0
Río Negro 915,,
Los Molineros 539,,
Linconyan 858,,
Av. Villa Verde 55,Coronel,8.0
San Eugenio,,
Baquedano,Concepción,8.0
Juan Diaz Garces 1852,,
Tucapel 1970,Concepción,8.0
4081371 Concepción,Concepción,8.0
Avda Colon 7199 Poblacion Esmeralda,,
Janequeo 2297,Concepción,8.0
José Santos Ossa 2464,Coronel,8.0
Av. Alameda Libertador Bernardo O'Higgins 340,,6.0
de Concepción a - Autopista 5935,Talcahuano,
Pasaje 11 85 San Eugenio II Etapa,,
Av. Las Torres 42,,
Ñuble Rupanco 024,,
Av. Costanera 6800,Concepción,8.0
Janequeo 2119,Concepción,8.0
C. Balmaceda 202,,8.0
Cochrane 939,Concepción,8.0
Av Pratt 024,,
Predio el Manzano Km 14 Huape,,
Atama 918 Diego Portales,,
Barros Arana 273,Talcahuano,8.0
Panguipulle 0621,,
Pasaje 28 6191 Brisas del Sol,,
Los Conquistadores,Hualpén,8.0
Av. Las Industrias 7215,,8.0
evangelista Torrincelli 1679,,
Los Mañíos,Concepción,8.0
nahueltoro kilometros 2 san Carlos,,
Jorge Alessandri Rodriguez 13059,,
Camino a Cerro Negro Km 7,,
Av. Cristóbal Colón 7216,Talcahuano,8.0
Ambrosio Ohiggins 1810,,6.0
Taira 1033,,
Orompello 178,,
Kilometro 455 Ruta 5 Sur,,
Itata,,
Jaime Repullo 2295,,
Camino a las termas km26,,13.0
C. A 1277,,
Tucapel 965,Concepción,8.0
Llahuimavida oriente km 3.7,,
VICUNA MACKENNA 1150,,
Urriola 87,,5.0
Av. Araucana 1302,,8.0
Los Alerces 869,,
Alonso de Reinoso 252,,
Jaime Repullo 1906,,
Los Yaganes 1718 Monte Redondo,,
Camino a San Nicolas Kilometro 3,,
km 8  el álamo huape,,
Camino a Coronel km 18 Av. Villa Verde,Coronel,
Avenida Saavedra Sur 1355,,
Ramón Freire 368,,
Boldo 207,Talcahuano,8.0
Los Jilgueros 8125 Parque Central,,
C. Almeria 1965,Concepción,8.0
Arauco 270,,
Av javier jarpa sotomayor sin numero recinto,,
Jaime Repullo 3545,Talcahuano,8.0
Jaime Repullo 1794,,
Los Laureles Lote 1 Km 789 Ruta 5,,
Manuel Matta 850 coelemu,,
Castellon 1669,,
Bellavista 1598,Concepción,8.0
Las Malvinas 1115,,
Tucapel 578,Concepción,8.0
Libertad 321,,
Carr. Panamericana Sur,,6.0
Javier jarpa sotomayor 280,,
Ecuador 765,,
Marco Polo 9038,Concepción,8.0
Av Colon 3201,,
Oro verde camino a Portezuelo kl 7,,
San Martin 250,,
Ruta Q-503 Kilometro 0,,
Sepúlveda Bustos 318,,
Arturo Prat 199,Concepción,8.0
Calle Griselda 6380 Villa Santa Maria,,
Valle Andalien  2224 503A Lomas San Sebastian,,
Arteaga Alemparte 8811,Concepción,8.0
8551374 Conchalí,,
Los Mañios 6377,,
Gran Bretaña 3780,Hualpén,8.0
Graneros 191 - El Olivar,,
Carr. Panamericana Sur 48215,,
Arturo Prat 815,,
Hendaya 60,Las Condes,13.0
Montriou 1923 Barrio Norte,,
Calle Colchagua Esq Chimbarongo 7027,,
Cocharcas 288,,
Orella 444,Talcahuano,8.0
Azapa 50,,
Las Violetas 1521,San Pedro de la Paz,8.0
Unnamed Road,,
Las Golondrinas 444,,
San Miguel de Itata,,
AVENIDA ECUADOR 1039,,
Alcalde Campos Carvajal,,
Ángeles 772,,
San Fabián,,
Bilbao 340,,
Tucapel 564 oficina 96,,
Francisco Errázuriz,,
Rio Choapa 62 Denavi Sur,,
Renato Cancino 9078,,
Barcelona 1339,,
Anibal Zanartu 2601,,
Rucapequen,,
lote 1 col B ohiggins lt 1,,6.0
Lautaro 352 coronel,Coronel,
CCI,,
Sicilia 3682,Concepción,8.0
COLONIA BDO OHIGGINS 69 B LOTE 1,,6.0
Fresia 164,Talcahuano,8.0
Quiriquina Chica 0,,
Villa frecia pasaje 6 casa 1107 bulnes,,
Vilumilla 1202,Concepción,8.0
Bulnes 136,Talcahuano,8.0
La torre 72 S curanilahue,,
Av Prat G Don Alonso 1764 12,,
Parcela 16 el ajial el retiro,,
Niblinto,,
Av. O'Higgins 1608,,6.0
Avenida Alemania 684A,,
Los Claveles,,
Colo Colo 51,,
Los Lleuques,,
Orella 53,Talcahuano,8.0
Canteras 3442Villa Dona Rosa,,
Los Manios 510 Villa Renacer,,
Vicesuperintendente Oscar Olivares Ojeda 296,,
Sotelco 1229,San Pedro de la Paz,8.0
Venecia 2991,,
San Martín 655,Talcahuano,8.0
Colón,,
Almte. Latorre 1009,Talcahuano,8.0
Los Ingenieros 947 Parque Industrial,,
Bueras,,
3780355 Chillán,,
Huacamala s/n Quillón,,
Oficina N3 Recinto Portuario,,
Pje. Once 710,,
Ramon Carrasco 206,,
Angela Fonseca 61 Villa los Salinas,,
Sotomayor 406,,
Calle mafuente 619 pueblo seco,,
Cl Llaipen 557,,
San Pedro de la Paz,San Pedro de la Paz,8.0
Pozo Almonte 8950,Las Condes,13.0
CC42+7C,,
Las Violetas 1555 casa 16,,
Camino a Coronel Km 15,Coronel,
Buenos Aires 635,,
Los Lirios 5,,
Camino Concepcion Bulnes K10 5 Fundo Chanco,,
Francisco Bilbao 441-445,,
KM 8 Cam a Sn Javier SN,,
Pablo Neruda 37-a villa santa Rita,,
Villa alegre 896,,
Jotabeche 3696 Salinas,,
Purén 936,,
Manuel Rodríguez,,
Janequeo 595,Concepción,8.0
Domicilio: Exequiel Fernández 210,,
Kilometro 71 Ruta 148 SN Sector Palomares,,
Villa antuco 726,,
Parque de la Madera25 lt  2 Forjadores de chile,,
Libertador Gral. Bernardo O'Higgins 529,Concepción,8.0
Av. Nahuelbuta 1541,,
San Carlos 540 Poblacion Santa Leonor,,
Arturo Prat 199,Concepción,8.0
Gabriela Mistral 104 Casa Esq,,
Chacabuco 140,Talcahuano,8.0
HJ SAN LORENZO,,
Principal 12 Caleta Tumbes,,
El Rosario,,
Manuel Montt 310,,
Chacabuco 358,Talcahuano,8.0
Bernardo O'Higgins Pte. 77,Concepción,8.0
Angol 436,,
Las Golondrinas,,
